show_id,title,director,cast,date_added,release_year,rating,duration,listed_in,complexity,Faith & Spirituality,Children & Family Movies,International Movies,Comedies,Sports Movies,Music & Musicals,Horror Movies,Thrillers,Documentaries,Dramas,Cult Movies,Classic Movies,Stand-Up Comedy,Romantic Movies,Independent Movies,LGBTQ Movies,Movies,Sci-Fi & Fantasy,Action & Adventure,n
s146,House Party 2,"George Jackson, Doug McHenry","Christopher Reid, Christopher Martin, Martin Lawrence, Bowlegged Lou, Paul Anthony, B-Fine, Tisha Campbell, Kamron, Iman, Queen Latifah",9/1/21,1991,R,94,"Comedies, Cult Movies, Music & Musicals",13,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
s147,House Party 3,Eric Meza,"Christopher Reid, Christopher Martin, Tisha Campbell, David Edwards, Angela Means, Ketty Lester, Bernie Mac, Michael Colyar, Chris Tucker, Khandi Alexander",9/1/21,1994,R,94,"Comedies, Music & Musicals",9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
s150,I Got the Hook Up,Michael Martin,"Master P, Anthony Johnson, Gretchen Palmer, Frantz Turner, Richard Keats, Joe Estevez, William Knight, Anthony Boswell, Tommy 'Tiny' Lister, Helen Martin, John Witherspoon, Mia X",9/1/21,1998,R,93,"Action & Adventure, Comedies",13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
s151,In Too Deep,Michael Rymer,"Omar Epps, LL Cool J, Nia Long, Stanley Tucci, Pam Grier, Hill Harper, Jake Weber, David Patrick Kelly, Veronica Webb, Ron Canada, Robert LaSardo, Gano Grills, Ivonne Coll, Don Harvey, Mya, Nasir 'Nas' Jones, Jermaine Dupri",9/1/21,1999,R,97,Thrillers,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
s153,Janoskians: Untold and Untrue,Brett Weiner,"Jai Brooks, Luke Brooks, James Yammouni, Daniel Sahyounie, Beau Brooks",9/1/21,2016,TV-MA,88,Comedies,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
s157,Letters to Juliet,Gary Winick,"Amanda Seyfried, Christopher Egan, Gael García Bernal, Vanessa Redgrave, Franco Nero, Luisa Ranieri, Marina Massironi, Milena Vukotic, Marcia DeBonis, Luisa De Santis, Lidia Biondi, Giordano Formenti, Chris Egan",9/1/21,2010,PG,105,"Comedies, Dramas, Romantic Movies",14,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
s159,Love Don't Cost a Thing,Troy Byer,"Nick Cannon, Christina Milian, Kenan Thompson, Kal Penn, Steve Harvey, Al Thompson, Ashley Monique Clark, Elimu Nelson, Nichole Robinson, Melissa Schuman",9/1/21,2003,PG-13,101,"Comedies, Romantic Movies",11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
s162,Mars Attacks!,Tim Burton,"Jack Nicholson, Glenn Close, Annette Bening, Pierce Brosnan, Danny DeVito, Martin Short, Sarah Jessica Parker, Michael J. Fox, Rod Steiger, Tom Jones, Lukas Haas, Natalie Portman",9/1/21,1996,PG-13,106,"Comedies, Cult Movies, Sci-Fi & Fantasy",14,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
s164,My Boss's Daughter,David Zucker,"Ashton Kutcher, Tara Reid, Jeffrey Tambor, Andy Richter, Michael Madsen, Jon Abrahams, David Koechner, Carmen Electra, Kenan Thompson, Terence Stamp, Molly Shannon",9/1/21,2003,R,86,"Comedies, Romantic Movies",11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
s165,Mystery Men,Kinka Usher,"Ben Stiller, Hank Azaria, William H. Macy, Janeane Garofalo, Kel Mitchell, Paul Reubens, Wes Studi, Greg Kinnear, Geoffrey Rush, Lena Olin, Eddie Izzard, Artie Lange, Pras, Claire Forlani, Tom Waits",9/1/21,1999,PG-13,121,"Action & Adventure, Comedies",13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
s169,Osmosis Jones,"Bobby Farrelly, Peter Farrelly","Chris Rock, Laurence Fishburne, David Hyde Pierce, Brandy Norwood, William Shatner, Ron Howard, Kid Rock, Ben Stein",9/1/21,2001,PG,95,"Action & Adventure, Children & Family Movies, Comedies",16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
s170,Poseidon,Wolfgang Petersen,"Josh Lucas, Kurt Russell, Jacinda Barrett, Richard Dreyfuss, Emmy Rossum, Mía Maestro, Mike Vogel, Kevin Dillon, Freddy Rodríguez",9/1/21,2006,PG-13,98,"Action & Adventure, Dramas",14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
s171,Rhyme & Reason,Peter Spirer,"Too $hort, B-Real, Kurtis Blow, Da Brat, Grandmaster Caz, Sean ""P. Diddy"" Combs, Chuck D., Desiree Densiti, Dr. Dre, E-40, MC Eiht, Heavy D, Lauryn Hill, Ice-T, Wyclef Jean, Ras Kass, KRS-One, L.V., Mack 10, Craig Mack, Method Man, Keith Murray, Nasir 'Nas' Jones, The Notorious B.I.G., Master P, Q-Tip, Raekwon, Redman, Senen Reyes, Busta Rhymes, RZA, DJ Scratch, Erick Sermon, Tupac Shakur, Adario Strange, Suave",9/1/21,1997,R,89,"Documentaries, Music & Musicals",13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
s172,Same Kind of Different as Me,Michael Carney,"Greg Kinnear, Renée Zellweger, Djimon Hounsou, Jon Voight, Olivia Holt",9/1/21,2017,PG-13,120,"Dramas, Faith & Spirituality",14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
s174,Snervous Tyler Oakley,Amy Rice,Tyler Oakley,9/1/21,2015,PG-13,83,"Documentaries, LGBTQ Movies",16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
s175,Tears of the Sun,Antoine Fuqua,"Bruce Willis, Monica Bellucci, Cole Hauser, Eamonn Walker, Johnny Messner, Nick Chinlund, Charles Ingram, Paul Francis, Chad Smith, Tom Skerritt, Malick Bowens, Awaovieyi Agie",9/1/21,2003,R,121,"Action & Adventure, Dramas",11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
s176,The Blue Lagoon,Randal Kleiser,"Brooke Shields, Christopher Atkins, Leo McKern, William Daniels, Elva Josephson, Glenn Kohan, Alan Hopgood, Gus Mercurio",9/1/21,1980,R,105,"Dramas, Romantic Movies",13,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
s177,The Golden Child,Michael Ritchie,"Eddie Murphy, J.L. Reate, Charles Dance, Charlotte Lewis, Victor Wong, Randall Tex Cobb, James Hong, Shakti Chen, Tau Logo, Tiger Chung Lee",9/1/21,1986,PG-13,94,"Action & Adventure, Comedies",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
s179,The Interview,"Evan Goldberg, Seth Rogen","James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang, Timothy Simons, Reese Alexander, James Yi",9/1/21,2014,R,112,"Action & Adventure, Comedies",15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
s180,The Nutty Professor,Tom Shadyac,"Eddie Murphy, Jada Pinkett Smith, James Coburn, Larry Miller, Dave Chappelle, John Ales, Patricia Wilson, Jamal Mixon",9/1/21,1996,PG-13,95,"Comedies, Romantic Movies",14,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
s183,Welcome Home Roscoe Jenkins,Malcolm D. Lee,"Martin Lawrence, James Earl Jones, Joy Bryant, Margaret Avery, Mike Epps, Mo'Nique, Cedric the Entertainer, Nicole Ari Parker, Michael Clarke Duncan, Louis C.K.",9/1/21,2008,PG-13,114,Comedies,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
s184,In the Line of Fire,Wolfgang Petersen,"Clint Eastwood, John Malkovich, Rene Russo, Dylan McDermott, Gary Cole, Fred Thompson, John Mahoney, Gregory Alan Williams, Jim Curley, Sally Hughes",8/31/21,1993,R,129,"Action & Adventure, Classic Movies",8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
s228,Really Love,Angel Kristi Williams,"Kofi Siriboe, Yootha Wong-Loi-Sing, Michael Ealy, Uzo Aduba",8/25/21,2020,TV-MA,95,"Dramas, Independent Movies, Romantic Movies",14,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
s230,The Old Ways,Christopher Alender,"Brigitte Kali Canales, Andrea Cortes, Julia Vera, Sal Lopez",8/25/21,2020,TV-MA,90,Horror Movies,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
s232,The Water Man,David Oyelowo,"David Oyelowo, Rosario Dawson, Lonnie Chavis, Amiah Miller, Alfred Molina, Maria Bello",8/25/21,2021,PG,92,"Children & Family Movies, Dramas",13,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
s248,Sweet Girl,Brian Andrew Mendoza,"Jason Momoa, Isabela Merced, Manuel Garcia-Rulfo, Amy Brenneman, Adria Arjona, Raza Jaffrey, Justin Bartha, Lex Scott Davis, Michael Raymond-James",8/20/21,2021,R,110,"Action & Adventure, Dramas",3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
s252,Like Crazy,Drake Doremus,"Anton Yelchin, Felicity Jones, Jennifer Lawrence, Charlie Bewley, Alex Kingston, Oliver Muirhead, Finola Hughes, Chris Messina, Ben York Jones, Jamie Thomas King",8/19/21,2011,PG-13,91,"Dramas, Independent Movies, Romantic Movies",6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
s265,Walk of Shame,Steve Brill,"Elizabeth Banks, James Marsden, Gillian Jacobs, Sarah Wright, Ethan Suplee, Bill Burr, Ken Davitian, Lawrence Gilliard Jr., Alphonso Mcauley, Da'Vone McDonald, John Marsden, Willie Garson, Oliver Hudson, P.J. Byrne",8/16/21,2014,R,94,"Comedies, Independent Movies",13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
s296,The Paper Tigers,Quoc Bao Tran,"Alain Uy, Ron Yuan, Mykel Shannon Jenkins, Jae Suh Park, Matthew Page, Joziah Lagonoy, Raymond Ma",8/7/21,2021,PG-13,111,"Action & Adventure, Comedies",15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
s308,Aftermath,Peter Winther,"Ashley Greene, Shawn Ashmore, Sharif Atkins, Britt Baron, Diana Hopper, Ross McCall, Jamie Kaler, Travis Coles, Susan Walters, Jason Liles",8/4/21,2021,TV-MA,115,Horror Movies,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
s309,American Masters: Inventing David Geffen,Susan Lacy,David Geffen,8/4/21,2012,TV-MA,115,Movies,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
s315,Heavy,James Mangold,"Pruitt Taylor Vince, Shelley Winters, Liv Tyler, Debbie Harry, Evan Dando, Joe Grifasi, David Patrick Kelly, Marian Quinn",8/3/21,1995,R,104,"Dramas, Independent Movies, Romantic Movies",13,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
s326,Beethoven,Brian Levant,"Charles Grodin, Bonnie Hunt, Dean Jones, Oliver Platt, Stanley Tucci, Nicholle Tom, Christopher Castile, Sarah Rose Karr, David Duchovny, Patricia Heaton, O-Lan Jones, Nancy Fish",8/1/21,1992,PG,87,"Children & Family Movies, Comedies",7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
